Data,Valor (m)
21/12/2021 17:40,0.9538482813708458
21/12/2021 18:00,0.8564387678908691
21/12/2021 18:20,0.7448287838758376
21/12/2021 18:40,0.6325716793583588
21/12/2021 19:00,0.5145566578974151
21/12/2021 19:20,0.41770938727299955
21/12/2021 19:40,0.3261620549128311
21/12/2021 20:00,0.23393673351992794
21/12/2021 20:20,0.15993710245148923
21/12/2021 20:40,0.1341599677617729
21/12/2021 21:00,0.10702103269836577
21/12/2021 21:20,0.09293380201634294
21/12/2021 21:40,0.1063729060037567
21/12/2021 22:00,0.10311924446517562
21/12/2021 22:20,0.1295974046198692
21/12/2021 22:40,0.17278447419926068
21/12/2021 23:00,0.19777525480870894
21/12/2021 23:20,0.2697474049527374
21/12/2021 23:40,0.2992874088147316
22/12/2021 00:00,0.3700435382436958
22/12/2021 00:20,0.4397195052976517
22/12/2021 00:40,0.5261291732783829
22/12/2021 01:00,0.5761911710739959
22/12/2021 01:20,0.6656802079259491
22/12/2021 01:40,0.7543898518232957
22/12/2021 02:00,0.8750731632872727
22/12/2021 02:20,0.9693140756331817
22/12/2021 02:40,1.09639096470878
22/12/2021 03:00,1.19508159398096
22/12/2021 03:20,1.284641151405983
22/12/2021 03:40,1.3956483126128845
22/12/2021 04:00,1.4815231994729003
22/12/2021 04:20,1.5429387863723603
22/12/2021 04:40,1.6126098631987915
22/12/2021 05:00,1.6395628844832228
22/12/2021 05:20,1.6563344422286377
22/12/2021 05:40,1.6046646650165175
22/12/2021 06:00,1.5690300914752273
22/12/2021 06:20,1.5023326119494476
22/12/2021 06:40,1.396207136061798
22/12/2021 07:00,1.3071733531852416
22/12/2021 07:20,1.2002227805361556
22/12/2021 07:40,1.0602983868534737
22/12/2021 08:00,0.9294356386035542
22/12/2021 08:20,0.8327600032007908
22/12/2021 08:40,0.7172676484034325
22/12/2021 09:00,0.6476434667812935
22/12/2021 09:20,0.5933932925770324
22/12/2021 09:40,0.5605774499363945
22/12/2021 10:00,0.5508995339819993
22/12/2021 10:20,0.560741308191977
22/12/2021 10:40,0.588572686460556
22/12/2021 11:00,0.632316185933786
22/12/2021 11:20,0.6793748491338913
22/12/2021 11:40,0.7809961056790344
22/12/2021 12:00,0.8543943006502167
22/12/2021 12:20,0.9444225203301057
22/12/2021 12:40,1.0248618787180845
22/12/2021 13:00,1.1154716461288148
22/12/2021 13:20,1.1942564195765777
22/12/2021 13:40,1.2599957541136106
22/12/2021 14:00,1.3314965366402862
22/12/2021 14:20,1.3837515312026245
22/12/2021 14:40,1.445653439780548
22/12/2021 15:00,1.488272907468338
22/12/2021 15:20,1.5016090217997895
22/12/2021 15:40,1.55512579389682
22/12/2021 16:00,1.549618482524994
22/12/2021 16:20,1.5515871754340669
22/12/2021 16:40,1.5710155378867952
22/12/2021 17:00,1.5492813066629487
22/12/2021 17:20,1.525447487880188
22/12/2021 17:40,1.2623783309944878
22/12/2021 18:00,1.2155056351586686
22/12/2021 18:20,1.1647991488376923
22/12/2021 18:40,1.0949852368493453
22/12/2021 19:00,1.0056356749317825
22/12/2021 19:20,0.9252031704758591
22/12/2021 19:40,0.8295354934367904
22/12/2021 20:00,0.7439074661718444
22/12/2021 20:20,0.6611095729550552
22/12/2021 20:40,0.5742716258431733
22/12/2021 21:00,0.5168865091655426
22/12/2021 21:20,0.46719829029899596
22/12/2021 21:40,0.42109232663689883
22/12/2021 22:00,0.3869622350384537
22/12/2021 22:20,0.3686695034048081
22/12/2021 22:40,0.36242369745972136
22/12/2021 23:00,0.3684459224535942
22/12/2021 23:20,0.3719396765954224
22/12/2021 23:40,0.39089105370364763
23/12/2021 00:00,0.41264053288783153
23/12/2021 00:20,0.44778931524901694
23/12/2021 00:40,0.49157965608104937
23/12/2021 01:00,0.5444352246408721
23/12/2021 01:20,0.5896187051269974
23/12/2021 01:40,0.6501154695132972
23/12/2021 02:00,0.723961457350035
23/12/2021 02:20,0.7948587483821464
23/12/2021 02:40,0.8740454317587311
23/12/2021 03:00,0.963555530695491
23/12/2021 03:20,1.0592492685848236
23/12/2021 03:40,1.1516442630102677
23/12/2021 04:00,1.244336220119133
23/12/2021 04:20,1.33627436467379
23/12/2021 04:40,1.4108386937004471
23/12/2021 05:00,1.4805260760696413
23/12/2021 05:20,1.5221388312382431
23/12/2021 05:40,1.542967674171463
23/12/2021 06:00,1.5344084148619919
23/12/2021 06:20,1.4959578682293053
23/12/2021 06:40,1.4384975890985756
23/12/2021 07:00,1.3457602427910005
23/12/2021 07:20,1.2497277224308632
23/12/2021 07:40,1.1305527588345337
23/12/2021 08:00,1.0095814471717395
23/12/2021 08:20,0.8978432869400558
23/12/2021 08:40,0.7895688650460564
23/12/2021 09:00,0.6969339489589875
23/12/2021 09:20,0.6284776360162192
23/12/2021 09:40,0.5786605857068211
23/12/2021 10:00,0.5517372010243924
23/12/2021 10:20,0.5453330445651581
23/12/2021 10:40,0.5563187370991226
23/12/2021 11:00,0.5916703913125076
23/12/2021 11:20,0.6360016180339096
23/12/2021 11:40,0.690678769084784
23/12/2021 12:00,0.7393522978904495
23/12/2021 12:20,0.8005402472958771
23/12/2021 12:40,0.8644460810934449
23/12/2021 13:00,0.9149515937232909
23/12/2021 13:20,0.9592917228733536
23/12/2021 13:40,0.9971817576924713
23/12/2021 14:00,1.0286480583741897
23/12/2021 14:20,1.0529863749359847
23/12/2021 14:40,1.0720134520558777
23/12/2021 15:00,1.0905991715474976
23/12/2021 15:20,1.097870391128292
23/12/2021 15:40,1.1040245301430187
23/12/2021 16:00,1.111679035095869
