Data,Valor (m)
26/12/2021 04:40,1.1624272244916856
26/12/2021 05:00,1.130604342783429
26/12/2021 05:20,1.0888393940546142
26/12/2021 05:40,1.0432483765760612
26/12/2021 06:00,1.01396011418993
26/12/2021 06:20,0.9928123347688411
26/12/2021 06:40,0.9859458501479351
26/12/2021 07:00,1.0078614978152676
26/12/2021 07:20,1.0413616574959372
26/12/2021 07:40,1.1159487046969185
26/12/2021 08:00,1.1987063887302398
26/12/2021 08:20,1.2995776503677101
26/12/2021 08:40,1.3944180057721882
26/12/2021 09:00,1.486161869357626
26/12/2021 09:20,1.5409351934024427
26/12/2021 09:40,1.582940412901329
26/12/2021 10:00,1.5809744588513168
26/12/2021 10:20,1.547380333828243
26/12/2021 10:40,1.4876938783907223
26/12/2021 11:00,1.4119634840732964
26/12/2021 11:20,1.3121928169839057
26/12/2021 11:40,1.2126232124375715
26/12/2021 12:00,1.1094466573577557
26/12/2021 12:20,1.0234334264732103
26/12/2021 12:40,0.9490340441148392
26/12/2021 13:00,0.892519154899202
26/12/2021 13:20,0.8628091378832403
26/12/2021 13:40,0.8573368629733473
26/12/2021 14:00,0.8676868693691508
26/12/2021 14:20,0.8969257120373794
26/12/2021 14:40,0.9580233234792236
26/12/2021 15:00,1.0248847359294646
26/12/2021 15:20,1.0766841643795662
26/12/2021 20:20,1.4192691142215041
26/12/2021 20:40,1.4887281107964478
26/12/2021 21:00,1.5491816574796295
26/12/2021 21:20,1.591457887342407
26/12/2021 21:40,1.580668028550537
26/12/2021 22:00,1.5420311223824692
26/12/2021 22:20,1.4762119618142129
26/12/2021 22:40,1.3618403778335817
26/12/2021 23:00,1.2286219264081775
26/12/2021 23:20,1.0840795906834306
26/12/2021 23:40,0.9353661123535824
27/12/2021 00:00,0.7809619638873062
27/12/2021 00:20,0.6431853485109573
27/12/2021 00:40,0.5171641545010255
27/12/2021 01:00,0.43819898267641755
27/12/2021 01:20,0.37140647428199003
27/12/2021 01:40,0.3669948681341385
27/12/2021 10:20,1.4217628274927216
27/12/2021 15:00,0.7038305679707291
27/12/2021 15:20,0.7185895513053009
28/12/2021 01:20,0.7002184302529038
28/12/2021 01:40,0.6172289396003571
28/12/2021 02:00,0.5776956202168465
28/12/2021 02:20,0.5538675584878715
28/12/2021 02:40,0.561423266961665
28/12/2021 03:00,0.5821588451119866
28/12/2021 03:20,0.6416656904141756
28/12/2021 03:40,0.6797777218146376
28/12/2021 04:00,0.7438601322716625
28/12/2021 04:20,0.7959267967209214
28/12/2021 04:40,0.8434987224693367
28/12/2021 05:00,0.8730271318417198
28/12/2021 05:20,0.8948425365187073
28/12/2021 05:40,0.9114348882350235
28/12/2021 06:00,0.9185226593720536
28/12/2021 06:20,0.9337660834023391
28/12/2021 06:40,0.9338411472303589
28/12/2021 07:00,0.9513584628658813
28/12/2021 07:20,0.966529130383783
28/12/2021 07:40,0.9156010380534317
28/12/2021 08:00,0.9575178960165206
28/12/2021 08:20,1.019218237476828
28/12/2021 08:40,1.1026520590138595
28/12/2021 09:00,1.198063966294876
28/12/2021 09:20,1.3039513899954605
28/12/2021 09:40,1.4192547178987884
28/12/2021 10:00,1.5335172041468124
28/12/2021 10:20,1.6406657665367583
28/12/2021 10:40,1.7316808196103974
28/12/2021 11:00,1.8073032718184892
28/12/2021 11:20,1.8577845303505325
28/12/2021 11:40,1.8794854441780242
28/12/2021 12:00,1.8807521061376877
28/12/2021 12:20,1.853694319557907
28/12/2021 12:40,1.806081842577156
28/12/2021 13:00,1.741283207778557
28/12/2021 13:20,1.6547965267476652
28/12/2021 13:40,1.567057868287857
28/12/2021 14:00,1.4713905059389343
28/12/2021 14:20,1.3662446301968993
28/12/2021 14:40,1.2688058639586335
28/12/2021 15:00,1.171351685081012
28/12/2021 15:20,1.0835136708781876
28/12/2021 15:40,0.9984847587885803
28/12/2021 16:00,0.9203965022699555
28/12/2021 16:20,0.8588710077775856
28/12/2021 16:40,0.8012080962056801
28/12/2021 17:00,0.7613233627614658
28/12/2021 17:20,0.7319986453967544
28/12/2021 17:40,0.7257984974136559
28/12/2021 18:00,0.7318752968197179
28/12/2021 18:20,0.7511131131771331
28/12/2021 18:40,0.7934352850621849
28/12/2021 19:00,0.8518201445991044
28/12/2021 19:20,0.9258527102560639
28/12/2021 19:40,1.0231366463600906
28/12/2021 20:00,1.1361185706383665
28/12/2021 20:20,1.2537111500094298
28/12/2021 20:40,1.381024796326706
28/12/2021 21:00,1.5064177567737427
28/12/2021 21:20,1.6258700528108063
28/12/2021 21:40,1.7356110710885926
28/12/2021 22:00,1.8220823048624268
28/12/2021 22:20,1.8879702680072479
28/12/2021 22:40,1.9207648603029022
28/12/2021 23:00,1.925637615029686
28/12/2021 23:20,1.8974361579410859
28/12/2021 23:40,1.830069701366478
29/12/2021 00:00,1.7480352687705993
29/12/2021 00:20,1.6350613920802042
29/12/2021 00:40,1.5145347515417174
29/12/2021 01:00,1.3853297840018863
29/12/2021 01:20,1.2626058161657763
29/12/2021 01:40,1.137800007197936
29/12/2021 02:00,1.0333109188997291
29/12/2021 02:20,0.9463147737842137
29/12/2021 02:40,0.8793539322580834
29/12/2021 03:00,0.8279537100578926
29/12/2021 03:20,0.8009972115180214
29/12/2021 03:40,0.780986955535662
29/12/2021 04:00,0.7823336082335358
29/12/2021 04:20,0.7929841689899934
29/12/2021 04:40,0.8058474305071335
29/12/2021 05:00,0.8151435852896469
29/12/2021 05:20,0.8175767300156052
29/12/2021 05:40,0.812062213098018
29/12/2021 06:00,0.8008838111941184
